channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
34,9,2.0,0.002440126,2.5115365133387968e-05,97.15669250488281,344.39689100229435,33460.46283874755,sim,0.00013233591490630572,0.49829912185668945
34,11,3.0,0.0024210790000000005,2.6697605790104717e-05,90.68524932861328,450.39604134742393,40844.27730621156,sim,0.0001158710073836567,0.43630197644233704
34,7,1.8,0.0024120219999999998,2.673922608664725e-05,90.20537567138672,350.8746029922709,31650.77537646647,sim,0.00013810268766615059,0.5200133919715881
34,5,1.4,0.0023085469999999998,2.8548443879117258e-05,80.86419677734375,331.76658105727205,26828.038094761814,sim,0.00015075170769988962,0.5676421523094177
34,1,0.6,0.001562028,3.868182102451101e-05,40.38145065307617,397.14150101299134,16037.14992544471,sim,0.00019266189355692415,0.7254512310028076
34,3,1.0,0.002058465,3.367077079019509e-05,61.13507080078125,352.9163680788491,21575.567149255014,sim,0.0001696729053621312,0.6388882398605347
34,27,30.0,0.0008928300000000001,8.881695066520479e-06,100.52472686767578,881.7528972045684,88637.96915627104,sim,6.789706325427042e-05,0.25566035509109497
34,29,40.0,0.000737938,8.157459888025187e-06,90.46173858642578,932.0882323659739,84318.32201577442,sim,6.614130054389392e-05,0.24904918670654297
34,23,20.0,0.0011531739999999999,9.104106538870838e-06,126.66525268554688,722.5738001323151,91524.99297771553,sim,7.089362277715413e-05,0.26694363355636597
34,19,8.0,0.0018584769999999999,1.2435501048457809e-05,149.44931030273438,497.28385833866747,74318.72965339651,sim,8.621253647396565e-05,0.3246256411075592
34,17,6.0,0.002072425,1.4700593055749778e-05,140.97561645507812,458.40382884185334,64623.762356348394,sim,9.248926508905483e-05,0.3482601046562195
34,13,4.0,0.002317061,1.941654409165494e-05,119.33436584472656,432.6418950246752,51629.04618063037,sim,0.00010403241121175259,0.3917247951030731
34,15,5.0,0.002204652,1.7780337657313794e-05,123.99382019042969,468.7777608760649,58125.54539133904,sim,9.717506377055691e-05,0.3659040629863739
34,25,26.0,0.000980923,8.436772986897267e-06,116.2675552368164,786.3243679247907,91424.01188175035,sim,6.859224030621241e-05,0.2582779824733734
34,21,10.0,0.001688306,1.2543288903543726e-05,134.5983428955078,587.900630657963,79130.4506737858,sim,8.145958105996294e-05,0.3067288100719452
